game_id,plyr_id,tot_pts,week
330905007,1428,46,1
330908025,14001,30,1
330908006,13553,29,1
330908006,5526,28,1
330908008,10452,28,1
330905007,13216,28,1
330908003,13983,28,1
330908025,4512,26,1
330909028,2549,25,1
330908008,9588,25,1
330908025,8439,24,1
330909028,12514,24,1
330908014,12537,24,1
330908011,14874,24,1
330909024,5615,23,1
330905007,14204,23,1
330908030,60012,23,1
330909024,5529,22,1
330908025,9592,21,1
330908006,60006,21,1
330908018,2580,20,1
330908014,5528,20,1
330908008,12483,20,1
330908008,13536,20,1
330909028,14021,20,1
330908006,4527,19,1
330908018,11237,19,1
330908025,11270,19,1
330908002,12649,19,1
330908014,13197,19,1
330908011,14851,19,1
330909028,14875,19,1
330909024,9684,18,1
330905007,11252,18,1
330908014,4459,17,1
330908005,12568,17,1
330908005,60015,17,1
330908006,5209,16,1
330905007,5941,16,1
330908030,8416,16,1
330908003,9597,16,1
330908003,9705,16,1
330909028,11283,16,1
330908025,14053,16,1
330908005,14189,16,1
330908002,15803,16,1
330908002,2330,15,1
330908011,2578,15,1
330908020,8475,15,1
330908003,11278,15,1
330908030,11307,15,1
330908003,14012,15,1
330908002,14017,15,1
330908023,60010,15,1
330909024,4461,14,1
330909024,11276,14,1
330908008,11280,14,1
330908029,14881,14,1
330908014,14993,14,1
330908020,15864,14,1
330908020,5531,13,1
330908006,14322,13,1
330908005,15918,13,1
330908025,8479,12,1
330908002,9704,12,1
330908018,9838,12,1
330908020,10621,12,1
330905007,11289,12,1
330908018,11543,12,1
330908006,12705,12,1
330908029,13994,12,1
330908005,14876,12,1
330905007,16581,12,1
330908020,60020,12,1
330908008,1716,11,1
330908029,2622,11,1
330908018,5549,11,1
330908023,9235,11,1
330909028,10605,11,1
330908011,11238,11,1
330908025,11325,11,1
330908006,12586,11,1
330909024,13204,11,1
330908020,13489,11,1
330908018,13982,11,1
330908006,14005,11,1
330908025,15848,11,1
330908002,60002,11,1
330908008,60008,11,1
330909024,60034,11,1
330908018,8544,10,1
330908002,10195,10,1
330908003,11295,10,1
330908002,11674,10,1
330908020,12473,10,1
330908018,13232,10,1
330908011,14153,10,1
330908020,14885,10,1
330908006,14911,10,1
330908029,15428,10,1
330909028,60021,10,1
330908029,60026,10,1
330908018,1231,9,1
330908025,1440,9,1
330908023,5633,9,1
330908018,11318,9,1
330908002,11458,9,1
330908014,13226,9,1
330905007,14032,9,1
330908029,14221,9,1
330908005,14878,9,1
330908014,15111,9,1
330905007,15683,9,1
330905007,60007,9,1
330908014,60022,9,1
330908020,60027,9,1
330909028,60028,9,1
330905007,4482,8,1
330908003,9354,8,1
330908023,11197,8,1
330905007,11331,8,1
330908003,11754,8,1
330909024,12497,8,1
330909024,13371,8,1
330909028,14123,8,1
330908011,14901,8,1
330908014,14908,8,1
330909028,15009,8,1
330908008,15058,8,1
330908018,16016,8,1
330908008,16330,8,1
330908005,60005,8,1
330908008,4529,7,1
330908006,4680,7,1
330908023,5536,7,1
330905007,6301,7,1
330908029,9613,7,1
330908006,10147,7,1
330905007,11122,7,1
330908023,11258,7,1
330908030,11267,7,1
330908029,11923,7,1
330908005,12567,7,1
330908023,13934,7,1
330909024,14027,7,1
330908005,14056,7,1
330908006,14087,7,1
330908011,14884,7,1
330909024,15091,7,1
330908011,15391,7,1
330908002,15880,7,1
330908003,60003,7,1
330908014,60014,7,1
330908018,60018,7,1
330908014,11257,6,1
330909028,11439,6,1
330908008,13966,6,1
330908011,14898,6,1
330908030,15029,6,1
330909024,15795,6,1
330908011,60013,6,1
330908002,60017,6,1
330908023,60023,6,1
330908029,60029,6,1
330908030,60030,6,1
330908020,2489,5,1
330908014,2548,5,1
330909028,2564,5,1
330908018,4333,5,1
330908029,10475,5,1
330908018,10713,5,1
330909028,11408,5,1
330905007,12516,5,1
330909024,13210,5,1
330908029,13217,5,1
330908023,13295,5,1
330908023,13969,5,1
330908020,14129,5,1
330908005,14145,5,1
330908011,60011,5,1
330908011,2148,4,1
330908005,4245,4,1
330909024,5362,4,1
330909024,6016,4,1
330909024,8417,4,1
330908023,9307,4,1
330909024,9329,4,1
330908030,9646,4,1
330908023,9761,4,1
330908029,10456,4,1
330908029,10482,4,1
330908025,10636,4,1
330908005,11678,4,1
330908030,12731,4,1
330908030,13207,4,1
330908011,13698,4,1
330908030,14135,4,1
330908020,14151,4,1
330908030,14184,4,1
330908003,14912,4,1
330908005,15062,4,1
330908014,15786,4,1
330908003,15788,4,1
330908002,16381,4,1
330908025,60025,4,1
330908011,1097,3,1
330905007,1858,3,1
330908018,5557,3,1
330908003,8461,3,1
330908008,9638,3,1
330908008,10447,3,1
330908030,10467,3,1
330908029,10488,3,1
330908002,10572,3,1
330908002,11688,3,1
330908011,12570,3,1
330908002,13203,3,1
330908003,13228,3,1
330905007,13271,3,1
330908025,13488,3,1
330908030,14433,3,1
330905007,14895,3,1
330908020,14910,3,1
330908029,15351,3,1
330908008,15474,3,1
330909028,15860,3,1
330908006,15878,3,1
330908018,9400,2,1
330905007,10517,2,1
330908011,10693,2,1
330909028,11282,2,1
330908030,11467,2,1
330908023,12730,2,1
330908006,13215,2,1
330908014,13357,2,1
330908014,13642,2,1
330908014,14007,2,1
330908005,14024,2,1
330908002,14028,2,1
330908008,14054,2,1
330908025,14083,2,1
330908025,14159,2,1
330908030,14186,2,1
330909028,14816,2,1
330905007,14891,2,1
330908029,14894,2,1
330908011,14924,2,1
330908014,15078,2,1
330909028,15092,2,1
330905007,15823,2,1
330908003,15826,2,1
330908025,15853,2,1
330908011,15923,2,1
330908020,15973,2,1
330908003,60004,2,1
330908018,8442,1,1
330908023,9361,1,1
330908020,9611,1,1
330908029,10453,1,1
330908003,10544,1,1
330908018,10687,1,1
330908030,11291,1,1
330908029,11658,1,1
330909024,11788,1,1
330908029,12460,1,1
330908023,12500,1,1
330908023,12506,1,1
330908005,12517,1,1
330908014,12553,1,1
330908023,12556,1,1
330908005,12601,1,1
330908030,12850,1,1
330908002,13213,1,1
330908023,13219,1,1
330909028,13225,1,1
330905007,13272,1,1
330908020,13587,1,1
330908018,13981,1,1
330908030,13987,1,1
330908014,14035,1,1
330908008,14095,1,1
330908006,14100,1,1
330909028,14192,1,1
330908020,14209,1,1
330908005,14601,1,1
330908023,14909,1,1
330908014,14914,1,1
330908018,15050,1,1
330908003,15072,1,1
330908030,15448,1,1
330908008,15807,1,1
330908030,15832,1,1
330909028,15835,1,1
330908014,15893,1,1
330908030,16022,1,1
330908014,16172,1,1
330908018,60001,1,1
330908006,60019,1,1
330908011,1575,0,1
330908023,2139,0,1
330915009,8439,35,2
330915021,2549,34,2
330915026,10456,30,2
330915021,5529,29,2
330915021,11276,27,2
330915001,13197,26,2
330915021,11283,25,2
330915001,13982,24,2
330915022,10447,23,2
330915027,13232,23,2
330915001,11237,22,2
330915019,12516,22,2
330915009,13214,22,2
330915009,14875,22,2
330915012,8416,21,2
330915026,60026,21,2
330915019,1428,20,2
330915009,11439,20,2
330915012,13215,20,2
330915034,5615,19,2
330915003,11295,19,2
330915021,9329,18,2
330915009,11270,18,2
330915009,14053,18,2
330915003,9597,17,2
330915003,9705,17,2
330915002,11458,17,2
330915022,12483,17,2
330915011,12601,17,2
330915011,14874,17,2
330915034,15795,17,2
330916004,15826,17,2
330915003,60016,17,2
330915021,12514,16,2
330915002,13994,16,2
330916004,14012,16,2
330915011,14145,16,2
330915001,15786,16,2
330915022,2548,15,2
330915009,10522,15,2
330915012,11307,15,2
330915034,12497,15,2
330912017,60017,15,2
330915002,10475,14,2
330915022,11257,14,2
330915034,13969,14,2
330915012,14322,14,2
330915011,14876,14,2
330915027,14885,14,2
330915002,15803,14,2
330915019,60007,14,2
330915027,60027,14,2
330915013,2148,13,2
330915012,5209,13,2
330915011,10693,13,2
330915019,11122,13,2
330915003,11278,13,2
330915013,11291,13,2
330915001,14035,13,2
330915027,2580,12,2
330915019,4680,12,2
330916004,5536,12,2
330915002,10195,12,2
330915002,10453,12,2
330915013,11238,12,2
330915033,11252,12,2
330915009,11325,12,2
330915002,11688,12,2
330915003,13966,12,2
330915021,14123,12,2
330912017,14129,12,2
330915011,14886,12,2
330915011,14900,12,2
330915011,14924,12,2
330915003,15058,12,2
330915022,15893,12,2
330912017,2330,11,2
330915022,4459,11,2
330915012,10467,11,2
330915001,10687,11,2
330915027,11543,11,2
330915002,12460,11,2
330915002,13203,11,2
330915019,13553,11,2
330915033,14891,11,2
330915034,14909,11,2
330915009,15009,11,2
330912017,15834,11,2
330915003,60003,11,2
330916004,60004,11,2
330915033,60033,11,2
330915009,2564,10,2
330915021,5362,10,2
330915019,5526,10,2
330915021,6016,10,2
330915003,14054,10,2
330915019,14204,10,2
330915013,14851,10,2
330915026,14881,10,2
330915001,15078,10,2
330915033,16581,10,2
330915013,60013,10,2
330915019,5941,9,2
330916004,8461,9,2
330915034,11258,9,2
330915026,11923,9,2
330915034,13210,9,2
330915034,13371,9,2
330915013,13376,9,2
330915019,14087,9,2
330915013,14184,9,2
330915033,14189,9,2
330915033,14878,9,2
330915022,60008,9,2
330915026,60025,9,2
330915033,4245,8,2
330915002,9613,8,2
330915003,9638,8,2
330915034,9684,8,2
330915003,10452,8,2
330915009,10636,8,2
330915019,12586,8,2
330915021,13225,8,2
330915019,13271,8,2
330915033,14032,8,2
330915002,15880,8,2
330915011,15918,8,2
330915002,60002,8,2
330915012,60012,8,2
330915027,60018,8,2
330915034,60034,8,2
330915011,1097,7,2
330915001,4333,7,2
330915034,4461,7,2
330915027,8475,7,2
330915003,9354,7,2
330915034,9761,7,2
330915013,11717,7,2
330916004,11754,7,2
330912017,12649,7,2
330915019,12705,7,2
330916004,13295,7,2
330915022,13536,7,2
330915011,14884,7,2
330915001,15111,7,2
330915003,15807,7,2
330915009,15860,7,2
330915033,60005,7,2
330915012,60006,7,2
330915001,5549,6,2
330915019,8524,6,2
330915034,9235,6,2
330915022,9588,6,2
330912017,9704,6,2
330915027,9838,6,2
330915027,12473,6,2
330915011,12568,6,2
330915027,12588,6,2
330916004,13228,6,2
330915019,13386,6,2
330915012,14005,6,2
330912017,14910,6,2
330915001,14993,6,2
330916004,15329,6,2
330916004,15788,6,2
330915013,16022,6,2
330915034,60010,6,2
330915011,60011,6,2
330912017,60020,6,2
330915002,2622,5,2
330916004,5633,5,2
330915027,8544,5,2
330915034,9307,5,2
330916004,9361,5,2
330912017,9611,5,2
330915021,11788,5,2
330915012,12731,5,2
330915021,13204,5,2
330915019,13216,5,2
330912017,13587,5,2
330916004,13934,5,2
330915026,14001,5,2
330915026,14221,5,2
330915021,15835,5,2
330915001,60001,5,2
330915022,60022,5,2
330915013,60030,5,2
330915011,2578,4,2
330915022,4529,4,2
330912017,10621,4,2
330915003,11280,4,2
330915001,11318,4,2
330915002,12733,4,2
330916004,13983,4,2
330912017,14028,4,2
330915011,14056,4,2
330912017,14209,4,2
330915003,14912,4,2
330916004,14922,4,2
330915013,15391,4,2
330912017,16381,4,2
330915001,1231,3,2
330915026,1440,3,2
330915033,1858,3,2
330915022,5528,3,2
330915013,5662,3,2
330915021,9695,3,2
330915012,10147,3,2
330915027,10713,3,2
330916004,11256,3,2
330915012,11267,3,2
330915019,11331,3,2
330915009,11408,3,2
330915002,11658,3,2
330915033,11678,3,2
330915011,12489,3,2
330915013,12503,3,2
330915022,12549,3,2
330915022,13226,3,2
330915027,13326,3,2
330915022,13357,3,2
330915026,13488,3,2
330915009,14021,3,2
330915033,14024,3,2
330915001,14193,3,2
330915026,14894,3,2
330915034,14916,3,2
330916004,15072,3,2
330915012,15515,3,2
330915019,15707,3,2
330915021,15818,3,2
330912017,15864,3,2
330915013,15923,3,2
330915001,8442,2,2
330915026,8479,2,2
330915026,9592,2,2
330915012,9639,2,2
330915013,9646,2,2
330915026,10482,2,2
330915033,12517,2,2
330915034,12556,2,2
330915027,13981,2,2
330915001,14007,2,2
330915021,14027,2,2
330915026,14083,2,2
330915013,14210,2,2
330915012,14906,2,2
330915022,14908,2,2
330915003,14918,2,2
330916004,15043,2,2
330915033,15062,2,2
330915011,15360,2,2
330915012,15878,2,2
330915011,60015,2,2
330915002,60029,2,2
330915022,1716,1,2
330915027,2489,1,2
330915012,4527,1,2
330912017,5531,1,2
330915033,6301,1,2
330915021,8417,1,2
330915033,8663,1,2
330915027,9400,1,2
330915026,10488,1,2
330915002,10572,1,2
330915034,11197,1,2
330915033,11289,1,2
330915003,11304,1,2
330915001,12537,1,2
330915019,12548,1,2
330915011,12567,1,2
330915011,12570,1,2
330915002,12576,1,2
330915012,13207,1,2
330912017,13213,1,2
330915026,13217,1,2
330915013,13363,1,2
330915009,13726,1,2
330915011,14104,1,2
330915009,14164,1,2
330915019,14887,1,2
330915001,14888,1,2
330915019,14911,1,2
330915001,14914,1,2
330915012,15029,1,2
330915001,15050,1,2
330915021,15092,1,2
330915009,15121,1,2
330915011,15383,1,2
330915019,15823,1,2
330915009,15848,1,2
330915026,15853,1,2
330915013,15896,1,2
330912017,15973,1,2
330915027,16016,1,2
330915026,16020,1,2
330915022,16172,1,2
330915011,1575,0,2
330916004,2139,0,2
330916004,3504,0,2
